title,abrev
criptônio,Kr
quilovolt(s),kV
"quilovolt(s)-ampere, quilovolt(s)-ampère",kVA
quilowatt(s),kw
quilowatt(s),kW
quilowatt(s) internacional,kW
quilowatt(s)-hora,kWh
quilowatt(s)-hora,kwh
quilowatt(s)-hora internacional,kWh
"linea, linha",l
litro(s),l
lançado (comercialmente),l.
largo (toponimicamente),L.
letra(s) (comercialmente),l.
"liber, livro",L.
linha(s),l.
livro,l.
loja,l.
lote,L.
"loco citato, no lugar citado",l.c.
"locus citatus, lugar citado",l.c.
lua cheia,L.c.
licenciada,L.da
limitada,L.da
licenciado,L.do
"Legum Baccalaureus, bacharel de leis, bacharel em leis",L.L.B.
"Legum Doctor, doutor de leis, doutor em leis",L.L.D.
lua nova,L.n.
livro,l.º
"Loughing Out Loud, rir às gargalhadas, rindo muito alto",L.O.L.
long-playing,L.P.
"lege, quaeso, lê, por favor",L.Q.
lantânio,La
laboratório,lab.
laborterapia,labor.
laboratório,laborat.
laborterapia,labort.
lacticínios,lact.
lâmina (prancha),lâm.
lançamento,lanç.
lanceiro(s) (do exército),lanc.
lapão,lap.
lapidaria,lap.
lapidário,lap.
lapidário,lapid.
largura,larg.
latim bárbaro,lat. bárb.
latim científico,lat. cien.
latim eclesiástico,lat. ecl.
latim hipotético,lat. hip.
latim hipotético,lat. hipotét.
latinização inglesa,lat. ing.
latim,lat.
latinismo,lat.
latino,lat.
latitude,lat.
latim medieval,lat. mediev.
latim tardio,lat. tard.
latim vulgar,lat. vulg.
latim vulgar,lat. vulgar
latitude,latit.
latoaria,latoar.
libra (moeda) e libra-peso,lb.
Limitada,L.
Limitada,Lda.
legislação financeira,leg. fin.
legislação,leg.
legislativo,leg.
légua,lég.
legislação social,leg. soc.
legislação,legisl.
léguas,légs.
leitura,leit.
"letão, leto, letonês, letônio",let.
lexicografia,lex.
"Lésbicas, Gays, Bissexuais, Travestis e Transexuais",LGBT
lítio,Li
libanês,lib.
"liber, livro",lib.
licenciado,Lic.do
ligação,lig.
limnologia,lim.
linimento,lin.
Língua,líng.
linguagem,ling.
linguística,ling.
linguística,lingüíst.
líquido,líq.
liturgia católica,lit. cat.
literal,lit.
literário,lit.
literatura,lit.
"litteraliter, literalmente",lit.
"lituano, lituânio",lit.
liturgia,lit.
literalidade,liter.
literalmente,liter.
literatura,liter.
literalidade,literal.
literatura,literat.
litografia,litog.
litografia,litogr.
litologia,litol.
"Litterarum Doctor, doutor de letras, doutor em letras",Litt.D.
"lituano, lituânio",lituan.
liturgia,litur.
liturgia,liturg.
liturgia católica,liturgia catól.
livro,liv.
livraria,Livr.
livraria,livr.
livro,livr.
"lineae, linhas",ll.
lúmen (lúmens ou lúmenes),lm
lúmen por metro quadrado,lm/m²
locução adjetiva,loc. adj.
locução adverbial latina,loc. adv. lat.
locução adverbial,loc. adv.
locução adverbial modal,loc. adv. mod.
locução adverbial temporal,loc. adv. temp.
"loco citato, no lugar citado",loc. cit.
"locus citatus, lugar citado",loc. cit.
locução conjuntiva,loc. conj.
locução familiar,loc. fam.
locução interjetiva,loc. int.
Local,loc.
localidade,loc.
locativo,loc.
"locução, locuções",loc.
locução prepositiva,loc. prep.
locução pronominal pessoal,loc. pron. pess.
locução substantiva,loc.s.
locução verbal,loc.v.
logaritmo,log.
lógica,lóg.
logaritmo,logar.
logística,logíst.
lombardo,lomb.
longitude,long.
"loquitur, fala",loq.
long-play,LP
lira(s) (moeda),lr.
limitada,Lt.da
limitada,Ltd.
limitada,Ltda.
limitada,ltda.
lutécio,Lu
ludologia,ludol.
lugar,lug.
lundês,lund.
lunfardo,lunf.
"lusitano, luso",lus.
lusitanismo,lusit.
luso-africanismo,luso-afr.
luso-asiaticismo,luso-asit.
luta,lut.
Luvaria,luv.
"mícron (mícrons, mícrones)",µ
"micromícron (micromícrons, micromícrones)",µµ
"microampere(s), microampère(s)",µA
microrradiano(s),µrd
microvolt(s),µv
microhm(s),µ
metro(s) de coluna d’água,m d’água
martelo(s) (medida),m
metro(s),m
milha(s) marítima(s) internacional (internacionais),M
"milimícron (milícrons, milimícrones)",m
minuto(s) (de tempo),m
molécula,M
mais,m.
mão(s) (de papel),m.
masculino,m.
massa,M.
meridiano,M.
"mês, meses",m.
mile(s),m.
misture,M.
moio(s),m.
"monsieur, senhor",M.
município,M.
us. — mais usado,m.
mesma,m.ª
mestra,M.ª
minha,m.ª
médio alto-alemão,m.a.-al.
Marechal,M.al
médio altoalemão,m.alt.-al.
"Medicinae Baccalaureus, bacharel de medicina, bacharel em medicina",M.B.
março,m.ço
"Medicinae Doctor, doutor de medicina, doutor em medicina",M.D.
Muito Digno,M.D.
máximo divisor comum,m.d.c.
madre,M.e
mestre,M.e
marquês,M.es
marquesa,M.esa
"mezzo forte, meio forte",m.f.
metro(s)-quilograma(s)-força,m.kg
metro(s)-quilograma(s)-força,m.kg*
metro(s)-quilograma(s)-força,m.kgf
"mademoiselle, senhorita",M.lle
"""Magister Musicae"", ""Master of Music"" (lit. Mestre em Música, ou Mestre de Música – título acadêmico comum a instituições de ensino de língua inglesa; no Brasil, equivale a Sc.M., embora a especificação ""Música"" seja omitida)",M.M.
"""Magister Musicae Artium"", ""Master of Musical Arts"" (lit. Mestre em Artes Musicais, ou Mestre de Artes Musicais – título acadêmico, sem equivalente direto no Brasil, porém comum a instituições de ensino de língua inglesa, destinado especificamente a pessoas que realizaram cursos de Mestrado em atividades práticas, viz. performance ou composição)",M.M.A.
mínimo múltiplo comum,m.m.c.
"madame, senhora",M.me
Meritíssimo,M.mo
maio,m.º
mesmo,m.º
morador,m.or
mais-que-perfeito do indicativo,m.-q.-perf. ind.
mais-que-perfeito,m.q.perf.
mais-que-perfeito,m.-q.-perf.
"metro, tonelada, segundo",M.T.S.
muita,m.ta
muito,m.to
"meus, minhas (comercialmente)",m/
meu aceite (comercialmente),m/a
minha carta,m/c
minha conta,m/c
meses de data (comercialmente),m/d
minha letra (comercialmente),m/l
metro(s) por minuto,m/min
minha ordem (comercialmente),m/o
meses de prazo (comercialmente),m/p
metro(s) por segundo,m/s
metro(s) por segundo,m/s
"meu(s), minha(s) (comercialmente)",m/s
metro(s) por segundo ao quadrado,m/s²
metro(s) quadrado(s),m²
metro(s) cúbico(s),m³
"miliampere(s), miliampère(s)",mA
miriare(s),Ma
Maria,Mª
maçonaria,maç.
maçonaria,maçon.
madeirense,mad.
madeirense,madeir.
magia,mag.
magnetismo,magn.
magnetismo,magnet.
magnitude,magnit.
maio (palavras de 4 letras não devem receber abreviaturas de 3 letras),maio
maiúscula,maiúsc.
major,Maj.
major,maj.
Major-Brigadeiro,Maj.-Brig.
major-brigadeiro,maj.-brig.
malabar,mal.
malabárico,mal.
malaio,mal.
marechal,Mal.
marechal,mal.
malabar,malab.
malabárico,malab.
malacologia,malac.
malacologia,malacol.
malaiala,malai.
malgaxe,malg.
malharia,malh.
membros inferiores,MMII
membros superiores,MMSS
mamalogia,mamal.
manípulo,man.
manufatura,manuf.
maometano,maomet.
mapuche,map.
máquina agrícola,máq. ag.
máquina,máq.
maquinista,maq.
maquinofatura,maquinof.
marinha antiga,mar. ant.
marata,mar.
março,mar.
marinha,mar.
marinha militar,mar. mil.
marinha de guerra,mar.g.
maranhense,maranh.
marcenaria,marc.
marchantaria,march.
marcheteria,marchet.
marginal,marg.
marinharia,marin.
marinharia,marinh.
marnotagem,marn.
marnoto,marn.
marroquino,marr.
marroquino,marroq.
martinicano,martin.
marxismo,marx.
masculino,masc.
matemática financeira,mat. fin.
matemática,mat.
matéria,mat.
matéria plástica,mat. pl.
matemática superior,mat. sup.
matadouro,matad.
matemática,matem.
materiais,mater.
materialismo,material.
mato-grossense,matogros.
mato-grossense,mato-gros.
máximo,máx.
megabária(s),Mb
megabit(s),Mb
megabyte(s),MB
megaciclo(s),Mc
milicaloria(s),mcal
macuta(s),mct.
megadina(s) por centímetro(s) quadrado(s),Md/cm²
megadina(s) por decímetro(s),md/dm
megadina(s),Mdyn
mecânica (ciência),mec.
mecânica (maquinismo),mecân.
mecanografia,mecan.
mecanografia,mecanogr.
medicina antiga,med. ant.
medicina legal,med. leg.
medicina,med.
"medio, meados, metade",med.
médico,méd.
medicina nuclear,med. nucl.
medicina sanitária,med. san.
medicina do trabalho,med. trab.
médico veterinário,méd. vet.
medieval,mediev.
medievalismo,mediev.
medieval,medv.
memento,mem.
memória,mem.
memorial,mem.
"memorandum, memorando",memo.
"memorandum, memorando",memor.
mensal,mens.
meridiano,mer.
meridional,mer.
mercado,merc.
mercúrio,merc.
mercadologia,mercad.
meridiano,merid.
meridional,merid.
metalurgia,met.
metátese,met.
meteorologia,met.
metáfora,metáf.
metaforicamente,metaf.
metafórico,metaf.
metafísica,metafis.
metafórico,metafór.
metalurgia,metal.
metalografia,metalog.
metalurgia,metalur.
metátese,metát.
meteorologia,meteor.
metonímico,meton.
métrica,métr.
metrificação,metr.
metrificação,metrif.
metrologia,metrol.
mexicano,mex.
mexicano,mexic.
magnésio,Mg
miligrama(s),mg
miligrama(s)-força(s),mgf
milígrado(s),mgr
milihenry(s),mH
milha(s) marítima(s) internacional(is),mi
minhoto,mi.
micologia,micol.
microbiologia,microbiol.
microfotografia,microfot.
micrografia,microg.
micrologia,microl.
micrometria,microm.
microscopia,microsc.
microscópico,microscóp.
milha,mil
milênio,mil.
militar,mil.
minuto(s) (de tempo),min
mineral,min.
mineralogia,min.
mínimo,mín.
ministro,min.
mineração,miner.
mineralogia,miner.
minguante,ming.
minhoto (termo),minh.
minúsculo,minúsc.
"missionária, missionário",miss.
misticismo,mist.
místico,míst.
mitologia escandinava,mit. esc.
mitologia germânica,mit. ger.
mitologia,mit.
mitológico,mit.
mitônimo(s),mit.
mitologia romana,mit. rom.
mitologia semítica,mit. sem.
mitônimo feminino,mit.f.
mitônimo feminino plural,mit.f.pl.
mitologia grega,mit.gr.
mitônimo masculino,mit.m.
mitônimo masculino e feminino,mit.m.f.
mitônimo masculino plural,mit.m.pl.
mitologia,mitol.
mitônimo feminino,mitôn. fem.
mitônimo masculino,mitôn. masc.
mitônimo,mitôn.
marco(s) (moeda),mk.
mililitro(s),ml
mirialitro(s),Ml
"mademoiselle, senhorita",Mlle
milímetro(s) de coluna de mercúrio,mmHG
milímetro(s),mm
miriâmetro(s),Mm
meritíssimo,MM.
"messieurs, senhores",MM.
municípios,MM.
milímetro(s) quadrado(s),mm²
milímetro(s) cúbico(s),mm³
"madame, senhora",Mme
"madame, senhora",mme
ministro,min.
manganês,Mn
molibdênio,Mo
moagem,moag.
mobília,mob.
mobiliária,mob.
mobiliário,mob.
moçambicanismo,moçamb.
"moderato, moderado, moderadamente",mod.
modernamente,mod.
modernismo,mod.
moderno,mod.
modismo,mod.
modo,mod.
moedas,moed.
"molécula, moléculagrama",mol
mongol,mon.
monografia,mon.
monografia,monog.
monografia,monogr.
monsenhor,Mons.
monsenhor,mons.
montaria,mont.
montanhismo,montanh.
moral,mor.
moralismo,mor.
moralidade,moralid.
morfema,morf.
morfologia,morf.
morfologia,morfol.
veg. — morfologia vegetal,morfol.
motociclismo,moto.
movimento,mov.
"mister, senhor",Mr.
"mistress, senhora",Mrs.
"manuscriptus, manuscrito, códice, autógrafo, apógrafo",MS
"manuscriptus, manuscrito, códice, autógrafo, apógrafo",MS.
"manuscriptus, manuscrito, códice, autógrafo, apógrafo",ms.
"manuscriptus, manuscrito, códice, autógrafo, apógrafo",Ms.
"manuscripti, manuscritos, códices, autógrafos, apógrafos",mss
"manuscripti, manuscritos, códices, autógrafos, apógrafos",MSS
militermia,mth
municipal,mun.
município,mun.
música concreta,mús. concr.
museologia,mus.
museu,mus.
música,mús.
"Musicae Baccalaureus, bacharel de música, bacharel em música",Mus.B.
"Musicae Doctor, doutor de música, doutor em música",Mus.D.
"music hall, teatro de variedades",mus.h.
museologia,museol.
mendelévio,Mv
milivolt(s),mV
megaohm(s),M
newton(s),N
nitrogênio,N
Norte,N
Norte,N.
nota da direção,N. da D.
nota da editora,N. da E.
nota da redação,N. da R.
nota do autor,N. do A.
nota do diretor,N. do D.
nota do editor,N. do E.
nota do tradutor,N. do T.
neutro,n.
nome,n.
número,n.
"nota bene, nota bem",n.b.
"nota bene, nota bem",N.B.
Nordeste,N.E.
,N.F.
"abreviatura com que se oculta um nome em programas, cartazes, subscrições, etc.",N.N.
Nor-Nordeste,N.N.E.
Nor-Noroeste,N.N.O.
Nor-Noroeste,N.N.W.
número (sempre minúscula),n.º
Noroeste,NO
"nihil obstat, nada obsta",N.Obs.
nome próprio,n.p.
nosso padre,N.P.
nome próprio locativo,n.p.loc.
nome próprio personativo,n.p.pers.
nome próprio,n.pr.
nosso reverendo padre,N.R.P.
Nosso Senhor,N.S.
Nosso Santo Padre,N.S.P.
,N.Sr.a Nossa Senhora
Nosso Santíssimo Padre,N.SS.P.
nota do tradutor,N.T.
Novo Testamento,N.T.
Noroeste,N.W.
"nosso(s), nossa(s) (comercialmente)",n/
nossa carta (comercialmente),n/c
nossa casa (comercialmente),n/c
nossa conta (comercialmente),n/c
nosso cheque,n/ch
nossa(s) letra(s) (comercialmente),n/l
nossa ordem (comercialmente),n/o
nosso saque (comercialmente),n/s
"natrium, sódio",Na
nacional,nac.
nacionalismo,nac.
napolitano,nap.
"National Aero Space Agency, Agência nacional arero-espacial dos Estados Unidos.",NASA
natação,nat.
naturalismo,nat.
naturalismo,natur.
náuatle,náu.
náuatle,náua.
náutica,náut.
náutico,náut.
fluv. — navegação fluvial,nav.
mar. — navegação marítima,nav.
marít. — navegação marítima,nav.
navegação,nav.
navegação fluvial,nav.fl.
nazismo,naz.
nióbio,Nb
cruzeiro novo,NCr$
neodímio,Nd
neônio,Ne
Nordeste,NE
neerlandês,neerl.
negativo,neg.
neo-árico,neo-ár.
"neoguinéu, neoguineense",neoguin.
neologia,neol.
neologismo,neol.
neologismo,neolog.
neozelandês,neozel.
nepalês,nep.
neurologia,neur.
neutralmente,neutr.
Nota Fiscal,NF
níquel,Ni
nicaragüense,nicar.
nicaragüense,nicarag.
nigeriano,nig.
nigeriano,niger.
Nor-Nordeste,NNE
Nor-Noroeste,NNO
Nor-Noroeste,NNW
nobélio,No
Noroeste,NO
"em bom sentido, nobilitativamente",nob.
nobiliarquia,nobil.
nominal,nom.
nominativo,nom.
nominativoacusativo,nom.-acus.
nome próprio,nome pr.
"non sequitur, não se segue",non seq.
norueguês,nor.
nórdico,nórd.
normalização,norm.
normando,norm.
normativo,normat.
norte-americano,nort.-am.
norueguês,norueg.
noticiário,notic.
novembro,nov.
novembro,nov.o
netúnio,Np
card. — numeral cardinal,num.
distr. — numeral distributivo,num.
frac. — numeral fracionário,num.
fracc. — numeral fraccionário,num.
mult. — numeral multiplicativo,num.
numeral,num.
número,núm.
ord. — numeral ordinal,num.
numismática,numis.
numismática,numism.
nutrição,nutr.
nutrologia,nutr.
Noroeste,NW
Ordem dos Advogados do Brasil,OAB
o mesmo que,o m.q.
Oeste,O
Oeste,O.
oxigênio,O
"oferece(m), dedica(m), consagra(m)",O.D.C.
"oferece(m), dedica(m), consagra(m)",o.d.c.
"(Presumivelmente ""Oll Korrect"" ou 0K, ""Zero Killed""), tudo correto, tudo bem",O.K.
Oés-Noroeste,O.N.O.
ordem (comercialmente),o/
obra citada (preferir op. cit.),ob. cit.
"obiit, morreu",ob.
oboé,ob.
oboé,Ob.
obra(s),ob.
Order of the British Empire ou Ordem do Império Britânico,OBE
Out-of-Body Experience ou Experiência fora-do-corpo,OBE
Out-of-Body Experience ou Experiência fora-do-corpo,OOBE
obediente,obed.
obrigadíssimo,obg.mo
púb. — obras públicas,obr.
Púb. — obras públicas,Obr.
,obr.mo obrigadíssimo
,obr.o obrigado
"observa, observe",obs.
observação,obs.
obsoleto,obsol.
obstetrícia,obst.
obstetrícia,obstet.
"grau centesimal, centígrado ou Celsius",oC
ocidental,oc.
oceanografia biológica,ocean. biol.
oceanografia,ocean.
oceanografia,oceanogr.
ocidental,ocid.
ocidente,ocid.
oculista,ocul.
ocultismo,ocul.
ocultismo,ocult.
odontologia,odont.
odontologia,odontol.
oferece(m),Of.
oferece(m),of.
oficial,of.
ofício,of.
ofidismo,ofid.
oftalmologia,oft.
oftalmologia,oftalm.
oftalmologia,oftalmol.
grau(s) Kelvin,oK
oligarquia,olig.
onça(s) (peso) (ver oz.),onç.
oneologia,oneol.
,ONO Oés-Nordeste
onomástica,onom.
onomástico,onom.
onomatopéia,onom.
onomatopéico,onom.
onomástica,onomást.
onomatopéia,onomat.
onomatopéico,onomatop.
"opere citato, na obra citada",op. cit.
"opus citatum, obra citada",op. cit.
"opus laudatum, obra citada",op. laud.
"opus, obra",op.
"opera, obras",opp.
"opera citata, obras citadas",opp. citt.
óptica,ópt.
óptimo,ópt.
optativo,optat.
origem grega,or. gr.
origem latina,or. lat.
oriental,or.
origem,or.
oratória,orat.
ordem,ord.
ordinal,ord.
ordinariamente,ord.
ordinal,ordin.
ordinário,ordin.
organismo,org.
organização,org.
organização política,org. pol.
organização,organiz.
origem,orig.
original,orig.
originário,orig.
originalmente,origin.
originário,origin.
originariamente,orign.
ornitologia,orn.
ornitologia,ornit.
ornitologia,ornitol.
orografia,orog.
orografia,orogr.
orônimo,orôn.
ortografia,ort.
ortografia,ortogr.
ortográfico,ortográf.
ortopedia,ortop.
ósmio,Os
ostreicultura,ostr.
otorrinolaringologia,otorr.
otorrinolaringologia,otorrin.
otorrinolaringologia,otorrino.
ourivesaria,our.
ourivesaria,ouriv.
outubro,out.
outubro,out.o
"ounce(s), onça(s) (peso)",oz.
palmo(s) (medida),p
pé(s) (medida),p
pedra(s) (peso de linho),p
"phosphorus, fósforo",P
por analogia,p. anal.
planta aromática,p. arom.
planta bienal,p. bien.
por comparação,p. comp.
por exagero,p. exag.
por extenso ou abreviadamente,p. ext. ou abrev.
planta florestal,p. fl.
planta forraginosa,p. forrag.
planta frutífera,p. frutíf.
planta herbácea,p. herb.
pré-história,p. hist.
por ironia,p. iron.
planta medicinal,p. med.
por metonímia,p. meton.
por oposição,p. opos.
planta ornamental,p. orn.
Padre,P.
pagina,p.
página,p.
penny (moeda),p.
piastra(s),p.
planta (vegetal),p.
por (comercialmente),p.
"pouco, paulo (latim)",p.
praça (toponimicamente),P.
pronominal,p.
próprio,p.
próximo (comercialmente),p.
planta têxtil,p. têxt.
pouco usado(s),p. us.
planta venenosa,p. ven.
,p.a para
"partes aequales, partes iguais",p.ae.
por alusão,p.al.
peso bruto,P.B.
pacote(s),p.c.
computador,P.C.
por cópia conforme,P.C.C.
pede deferimento,P.D.
pede deferimento,P.D.
"partes aequales, partes iguais",p.e.
peso específico,p.e.
por especial favor,P.E.F.
por especial obséquio,P.E.O.
por exemplo,p.ex.
por extensão,p.ext.
"più forte, mais forte (abrev. incomum, mais comum più f, sempre em itálico e sem ponto)",p.f.
ponto de fusão,p.f.
por favor,P.F.
prato feito,p.f.
próximo futuro (referido a mês),p.f.
"por favor, volte",p.f.v.
pêndulo horizontal,P.H.
partes iguais,p.i.
pede justiça,P.J.
peso líquido,P.L.
Padre Mestre,P.M.
peso molecular,p.m.
Polícia Militar,P.M.
por mão,P.M.
"post meridiem, depois do meio-dia",p.m.
"post mortem, depois da morte",p.m.
Prefeitura Municipal,P.M.
por mercê especial,P.M.E.
por muito obséquio,P.M.O.
pouco mais ou menos,p.m.o.m.
por mão própria,P.M.P.
"Padre-Nosso, Pai-Nosso",P.N.
Padre-Nosso e Ave-Maria,P.N.A.M.
para protestar,P.P.
por procuração,p.p.
"post paulo, pouco após (antes de datas ou períodos explícitos)",p.p.
"próximo passado (após trechos explicativos, com ou sem datas ou períodos explícitos)",p.p.
"post post scriptum, depois do que foi escrito depois",P.P.S.
planta perene,p.per.
"populus romanus, o povo romano",P.R.
Príncipe Real,P.R.
pede recebimento e justiça,P.R.J.
"post scriptum, pósescrito",P.S.
puro-sangue,p.s.
pêndulo vertical,P.V.
para,p/
por,p/
por conta,p/c
protoactínio,Pa
per annum (por ano),pa
peso atômico,pa.
passo(s) geométrico(s),pa.g.
paganismo,pag.
pagina,pag.
página,pág.
paginae,pagg.
páginas,págg.
páginas,págs.
palavra(s),pal.
paleobotânica,paleob.
paleografia,paleog.
paleografia,paleogr.
paleontologia,paleont.
paleontologia,paleontol.
paleozoologia,paleoz.
palavras,pals.
panamenho,pan.
panificação,pan.
pan-americanismo,pan.-amer.
panamenho,panam.
papelaria,papel.
"paquistanês, paquistano, paquistanense",paq.
paraense,par.
parônimo,par.
parte,par.
pároco,Pár.o
paraense,paraens.
paraguaio,parag.
paraibano,paraib.
paralela(s),paral.
paralelo(s),paral.
paranaense,paran.
parasitologia,paras.
parassintético,parassint.
parlamentar,parl.
parnasianismo,parn.
parnasianismo,parnas.
parônimo,parôn.
partícula apassivadora,part. apass.
partícula auxiliar,part. aux.
partícula expletiva,part. expl.
"participa, participe",part.
particípio,part.
partícula,part.
particípio passado,part. pass.
particípio presente,part. pres.
particípio,partic.
particularmente,partic.
passado,pass.
"passim, aqui e ali, em diversos lugares",pass.
passivo,pass.
passamanaria,passm.
passaricultura,passr.
passatempos,passt.
pastelaria,past.
patologia animal,pat. an.
patologia,patol.
pátrio,pátr.
patronímico,patr.
patronímico feminimo,patr.f.
patronímico feminino plural,patr.f.pl.
patronímico masculino,patr.m.
patronímico masculino plural,patr.m.pl.
patronímico,patron.
patrônimo,patrôn.
paulista,paul.
paulistano,paulist.
"plumbum, chumbo",Pb
"personal computer, computador pessoal",PC
peça(s),pç.
peça,pça.
paládio,Pd
poundal (medida),pdl.
Padre,Pe.
"pecuária, criação de animais",pec.
pediatria,ped.
pedologia,ped.
pedagogia,pedag.
pediatria,pediat.
pedologia,pedol.
pedreiras,pedr.
"em mau sentido, pejorativamente",pej.
pejorativo,pej.
"couros, pelaria, curtimento",pel.
penteados,pent.
pequeno,peq.
persa,per.
pérsico,pér.
peruano,per.
perfeito do indicativo,perf. ind.
perfeito,perf.
perfuração,perf.
perfumaria,perfum.
perífrase,períf.
perífrase,perífr.
pernambucano,pern.
pernambucano,pernamb.
persa,pers.
pérsico,pérs.
personativo,pers.
perspectiva,perspect.
perspectivismo,perspectiv.
peruviano,peruv.
pescaria,pesc.
pesquisa(s),pesq.
pessoa(s),pess.
pessoal,pess.
petrografia,pet.
indústria do petróleo,petr.
petrografia,petr.
petrografia,petrog.
petrografia,petrogr.
petrologia,petrol.
petroquímica,petroq.
prato feito,PF
pfennig (moeda),pf.
pago,pg.
pagou,pg.
pagamento,pgto.
"Philosophiae Baccalaureus, bacharel de filosofia, bacharel em filosofia",Ph.B.
"Philosophiae Doctor, doutor de filosofia, doutor em filosofia (em Artes, é um título aplicado a acadêmicos com especializações teórica ou histórica, em oposição a especializações práticas – e.g. em Música, Ph.D. é aplicado a Musicólogos teóricos ou históricos, em oposição a Performers ou Compositores, que recebem o título D.M.A.)",Ph.D.
piauiense,Piauí.
piauiense,piauien.
picaria,picar.
pílula(s),píl.
pintura,pint.
"pinxit, pintou",pinx.
,"pinx.t pinxit, pintou"
pirotecnia,pirot.
pirotécnica,pirot.
pirotecnia,pirotec.
pirotécnica,pirotéc.
piscicultura,pisc.
piscicultura,piscic.
"pizzicato, beliscado",pizz.
peck(s) (medida),pk
plural,pl.
plural regular,pl. reg.
planejamento,planej.
platino,plat.
Plebeísmo,pleb.
Polícia Militar,PM
"promethium, promécio",Pm
preamar,pm.
preia-mar,pm.
pneumologia,pneu.
polônio,Po
poesia,poes.
poética,poét.
poético,poét.
polaco,pol.
polegada(s) (medidas),pol.
polonês,pol.
polícia,políc.
polinésio,polin.
política,polít.
político,polít.
população,pop.
"popular, populares",pop.
popularmente,pop.
termo popular,pop.
população,popul.
por analogia,por anal.
por antonomásia,por anton.
por catacrese,por catacr.
por disfemismo,por disfem.
por especialização,por espec.
por extensão,por ext.
por hipálage,por hipál.
por hipérbole,por hipérb.
por limitação,por limit.
por metáfora,por metáf.
por metonímia,por meton.
por restrição,por restr.
por sinédoque,por sinéd.
português,port.
portuguesismo,port.
porto-riquenho,porto-riq.
positivismo,posit.
possessivo,poss.
possessivo,possess.
"potio, poção",pot.
potologia,pot.
potamônimo,potam.
povoação,pov.
povoado,pov.
páginas,pp.
"pianissimo, suavissimamente",pp.
precipitado,pp.
porque,pq
Pastor,Pr.
praseodímio,Pr
pronominal,pr.
próprio,pr.
prácrito,prác.
prático,prát.
precedente,prec.
precedente,preced.
precisamente,precis.
predicativo,pred.
predicativo,predic.
prefeito,Pref.
prefeito,pref.
prefeitura,Pref.
prefeitura,pref.
prefixo,pref.
pré-história,pré-hist.
preposição,prep.
prepositivo,prep.
prepositivo,prepos.
presente do conjuntivo,pres. conj.
presente do indicativo,pres. ind.
presente,pres.
presidente,Pres.
presidente,pres.
presente do subjuntivo,pres. subj.
presbítero,presb.º
prescrição,presc.
presidência,presid.
Presidência,Presid.
presidente,presid.
presidente,Presid.
prestidigitação,prest.
pretérito,pret.
previdência,prev.
previdência social,prev. soc.
primitivamente,prim.
primitivo,prim.
primitivo,primit.
principal,princ.
principado,princip.
"privativo, em caráter privado",priv.
"pro tempore, para o tempo em que for oportuno",pro temp.
problema(s),probl.
problemático,problem.
dados processamento de dados,proc.
processo,proc.
processualística,proc.
procuração,proc.
procurador,proc.
produção,prod.
professor,Prof.
professor,prof.
professora,Prof.ª
professora,prof.ª
professoras,Prof.as
professoras,prof.as
profissão,profis.
profissão,profiss.
profissionalismo,profission.
professores,Profs.
professores,profs.
promoção de vendas,prom. vend.
pronome demonstrativo,pron. dem.
pronome indefinido,pron. ind.
pronome interrogativo,pron. int.
pronome interrogativo,pron. interr.
pronome pessoal complemento,pron. pess. compl.
pronome pessoal,pron. pess.
pronome pessoal sujeito,pron. pess. suj.
pronome possessivo,pron. poss.
pronome,pron.
pronominal,pron.
pronominalmente,pron.
pronome reflexivo,pron. refl.
pronome reflexivo,pron. reflex.
pronome relativo,pron. rel.
pronominal,pronon.
pronúncia,pronún.
propaganda,propag.
proposição,propos.
propriamente,propr.
prosódia,pros.
prosônimo,pros.
prosônimo feminino,pros.f.
prosônimo masculino,pros.m.
proscênio,prosc.
prosônimo,prosôn.
prostético,prost.
prostético,prostét.
prótese,prót.
protético,prot.
protocolo,prot.
protestante,protest.
protestantismo,protest.
protético,protét.
protocolo,protoc.
protozoários,protoz.
provincianismo português,prov. port.
provedor,prov.
provençal,prov.
proverbial,prov.
proverbialmente,prov.
provérbio,prov.
província(s),prov.
provincial,prov.
provincialismo,prov.
provincianismo,prov.
provisão,prov.
provisório,prov.
provavelmente,provav.
provérbio,provb.
provençal,provç.
província,provc.
provençal,proven.
provençal,provenç.
provincial,provinc.
"próximo mense, no próximo mês",prox.
post scriptum,PS
pseudônimo,pseud.
psicologia animal,psic. an.
psicanálise,psic.
psicologia,psic.
psicologia social,psic. soc.
psicanálise,psican.
psicofisiologia,psicofisl.
psicogonia,psicogn.
psicologia,psicol.
psicopatologia,psicopat.
psiquiatria,psiq.
psiquiatria,psiquiat.
platina,Pt
ponto,pt
precipitado,pto.
pontos,pts.
plutônio,Pu
publicação,pub.
publicação,public.
publicidade,public.
pugilismo,pug.
"pugillus, punhado",pug.
"pulvis, pó",pulv.
"pinxit, pintou",px.t
piezo(s) (medida),pz
quadra,Q.
que (internetês),q
que,q.
quintal ou quintais (peso),q.
quantidade bastante (em receitas médicas),q.b.
quanto baste (em culinária),q.b.
quando,q.do
"quod erat demonstrandum, o que devia ser demonstrado",Q.E.D.
"quod erat demonstrandum, o que se devia demonstrar",q.e.d.
quartel-general,Q.G.
quartel-general,Q.-G.
"quinquies in die, cinco vezes ao dia",q.i.d.
"quantum libet, quanto se queira",q.l.
"quantum placet, à vontade",q.p.
"quantum satis, quanto satisfaça",q.s.
